"Età","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"0","45","0","0","0","","","","45","35","0","0","0","","","","35","80"
"1","60","0","0","0","","","","60","50","0","0","0","","","","50","110"
"2","38","0","0","0","","","","38","42","0","0","0","","","","42","80"
"3","75","0","0","0","","","","75","49","0","0","0","","","","49","124"
"4","47","0","0","0","","","","47","44","0","0","0","","","","44","91"
"5","60","0","0","0","","","","60","46","0","0","0","","","","46","106"
"6","44","0","0","0","","","","44","49","0","0","0","","","","49","93"
"7","49","0","0","0","","","","49","41","0","0","0","","","","41","90"
"8","45","0","0","0","","","","45","53","0","0","0","","","","53","98"
"9","43","0","0","0","","","","43","49","0","0","0","","","","49","92"
"10","45","0","0","0","","","","45","37","0","0","0","","","","37","82"
"11","40","0","0","0","","","","40","44","0","0","0","","","","44","84"
"12","49","0","0","0","","","","49","54","0","0","0","","","","54","103"
"13","52","0","0","0","","","","52","58","0","0","0","","","","58","110"
"14","40","0","0","0","","","","40","51","0","0","0","","","","51","91"
"15","49","0","0","0","","","","49","46","0","0","0","","","","46","95"
"16","58","0","0","0","","","","58","66","0","0","0","","","","66","124"
"17","57","0","0","0","","","","57","45","0","0","0","","","","45","102"
"18","65","0","0","0","","","","65","60","1","0","0","","","","61","126"
"19","61","0","0","0","","","","61","49","0","0","0","","","","49","110"
"20","61","0","0","0","","","","61","56","1","0","0","","","","57","118"
"21","69","0","0","0","","","","69","48","4","0","0","","","","52","121"
"22","57","2","0","0","","","","59","69","7","0","0","","","","76","135"
"23","63","2","0","0","","","","65","46","5","0","0","","","","51","116"
"24","46","2","0","0","","","","48","49","7","0","0","","","","56","104"
"25","67","2","0","0","","","","69","56","13","0","0","","","","69","138"
"26","60","6","0","0","","","","66","52","19","0","0","","","","71","137"
"27","52","9","0","0","","","","61","47","16","0","0","","","","63","124"
"28","48","17","0","0","","","","65","33","21","0","0","","","","54","119"
"29","46","14","0","0","","","","60","54","30","0","0","","","","84","144"
"30","43","11","0","0","","","","54","35","34","0","0","","","","69","123"
"31","45","21","0","0","","","","66","31","40","0","0","","","","71","137"
"32","45","38","0","0","","","","83","31","46","0","0","","","","77","160"
"33","35","31","0","0","","","","66","26","38","1","0","","","","65","131"
"34","36","27","0","0","","","","63","22","26","0","0","","","","48","111"
"35","28","25","0","0","","","","53","24","37","1","1","","","","63","116"
"36","29","42","1","0","","","","72","8","41","0","0","","","","49","121"
"37","35","39","0","0","","","","74","13","49","2","0","","","","64","138"
"38","31","43","1","0","","","","75","12","37","0","0","","","","49","124"
"39","30","39","0","0","","","","69","14","49","2","0","","","","65","134"
"40","26","34","0","2","","","","62","10","50","1","0","","","","61","123"
"41","31","40","1","0","","","","72","19","55","0","0","","","","74","146"
"42","24","39","1","0","","","","64","14","49","2","0","","","","65","129"
"43","26","43","2","0","","","","71","11","54","1","2","","","","68","139"
"44","16","43","1","0","","","","60","11","50","1","3","","","","65","125"
"45","25","63","0","0","","","","88","11","64","2","1","","","","78","166"
"46","17","46","0","0","","","","63","15","69","3","1","","","","88","151"
"47","11","49","4","0","","","","64","13","60","4","3","","","","80","144"
"48","12","50","3","1","","","","66","7","53","3","1","","","","64","130"
"49","13","58","2","1","","","","74","9","49","1","3","","","","62","136"
"50","10","55","5","1","","","","71","7","73","3","1","","","","84","155"
"51","12","43","2","1","","","","58","7","57","1","2","","","","67","125"
"52","11","53","1","0","","","","65","9","70","0","2","","","","81","146"
"53","11","53","1","0","","","","65","5","56","5","3","","","","69","134"
"54","20","62","2","1","","","","85","6","56","0","1","","","","63","148"
"55","7","67","3","0","","","","77","6","66","3","1","","","","76","153"
"56","11","55","3","1","","","","70","6","54","3","6","","","","69","139"
"57","8","53","0","0","","","","61","3","68","0","8","","","","79","140"
"58","4","49","3","3","","","","59","9","61","2","6","","","","78","137"
"59","13","60","0","1","","","","74","2","58","2","9","","","","71","145"
"60","7","53","0","0","","","","60","5","52","2","7","","","","66","126"
"61","8","46","2","1","","","","57","10","56","1","4","","","","71","128"
"62","8","54","5","0","","","","67","4","36","2","12","","","","54","121"
"63","9","53","1","2","","","","65","7","45","0","11","","","","63","128"
"64","3","40","0","1","","","","44","6","48","1","12","","","","67","111"
"65","5","54","2","0","","","","61","6","42","5","5","","","","58","119"
"66","5","59","0","1","","","","65","5","34","0","9","","","","48","113"
"67","4","51","0","1","","","","56","7","51","1","22","","","","81","137"
"68","5","40","1","1","","","","47","6","32","1","15","","","","54","101"
"69","5","51","0","6","","","","62","3","22","1","18","","","","44","106"
"70","7","49","2","1","","","","59","2","44","1","15","","","","62","121"
"71","3","45","2","0","","","","50","5","31","2","9","","","","47","97"
"72","3","28","1","3","","","","35","3","28","0","17","","","","48","83"
"73","2","37","1","2","","","","42","9","22","1","17","","","","49","91"
"74","2","28","1","6","","","","37","0","12","1","21","","","","34","71"
"75","4","26","0","3","","","","33","7","21","2","21","","","","51","84"
"76","3","25","1","3","","","","32","5","17","0","20","","","","42","74"
"77","4","30","0","3","","","","37","9","17","0","24","","","","50","87"
"78","3","33","0","3","","","","39","4","14","0","24","","","","42","81"
"79","3","18","0","2","","","","23","5","12","0","28","","","","45","68"
"80","1","20","0","4","","","","25","5","15","1","32","","","","53","78"
"81","0","21","0","3","","","","24","2","12","0","26","","","","40","64"
"82","7","12","0","7","","","","26","4","15","0","22","","","","41","67"
"83","0","17","0","5","","","","22","1","11","0","17","","","","29","51"
"84","0","10","0","4","","","","14","7","5","1","32","","","","45","59"
"85","1","18","0","2","","","","21","3","6","0","21","","","","30","51"
"86","2","17","0","1","","","","20","7","2","0","22","","","","31","51"
"87","0","5","0","6","","","","11","3","2","1","30","","","","36","47"
"88","1","6","0","5","","","","12","6","2","1","24","","","","33","45"
"89","1","5","0","4","","","","10","5","2","0","18","","","","25","35"
