"Età","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"90","0","6","0","6","","","","12","1","3","0","16","","","","20","32"
"91","0","5","0","4","","","","9","2","0","0","15","","","","17","26"
"92","0","4","0","5","","","","9","0","1","0","8","","","","9","18"
"93","0","0","0","0","","","","0","2","1","0","11","","","","14","14"
"94","0","3","0","1","","","","4","1","1","0","8","","","","10","14"
"95","0","0","0","1","","","","1","2","0","0","8","","","","10","11"
"96","0","0","0","0","","","","0","1","0","0","8","","","","9","9"
"97","0","0","0","1","","","","1","0","0","0","3","","","","3","4"
"98","0","1","0","2","","","","3","0","0","0","6","","","","6","9"
"99","0","0","0","0","","","","0","0","0","0","0","","","","0","0"
"100 e oltre","0","0","0","1","","","","1","1","0","0","2","","","","3","4"
"Totale","2362","2355","55","113","","","","4885","2035","2407","68","694","","","","5204","10089"
