"Anno","Cittadinanza","Maschi","Femmine","Totale"
"2025","Italia","4293","4634","8927"
"2025","Afghanistan","7","7","14"
"2025","Albania","1","0","1"
"2025","Algeria","6","5","11"
"2025","Bielorussia","1","2","3"
"2025","Camerun","1","0","1"
"2025","Cina","0","1","1"
"2025","Colombia","1","0","1"
"2025","Costa d'Avorio","2","3","5"
"2025","Federazione russa","0","2","2"
"2025","Filippine","0","3","3"
"2025","Francia","3","0","3"
"2025","Gambia","4","0","4"
"2025","Germania","0","1","1"
"2025","Guinea","0","1","1"
"2025","Kenya","0","2","2"
"2025","Mali","17","0","17"
"2025","Marocco","247","167","414"
"2025","Messico","0","1","1"
"2025","Moldova","0","1","1"
"2025","Niger","2","0","2"
"2025","Nigeria","7","7","14"
"2025","Paesi Bassi","0","1","1"
"2025","Pakistan","1","0","1"
"2025","Perù","1","0","1"
"2025","Repubblica ceca","0","1","1"
"2025","Romania","76","88","164"
"2025","Senegal","4","2","6"
"2025","Somalia","1","0","1"
"2025","Spagna","1","0","1"
"2025","Stati Uniti d'America","1","0","1"
"2025","Tunisia","2","1","3"
"2025","Ucraina","9","16","25"
"2025","Totale","4688","4946","9634"
