"Mese","Sesso","Popolazione inizio periodo","Nati vivi","Morti","Saldo naturale anagrafico","Iscritti in anagrafe da altro comune","Cancellati dall'anagrafe per altro comune","Saldo migratorio anagrafico interno","Iscritti in anagrafe dall'estero","Cancellati dall'anagrafe per l'estero","Saldo migratorio anagrafico estero","Iscritti in anagrafe per altri motivi","Cancellati dall'anagrafe per altri motivi","Saldo anagrafico per altri motivi","Iscritti in anagrafe in totale","Cancellati dall'anagrafe in totale","Saldo migratorio anagrafico e per altri motivi","Unità in più/meno dovute a variazioni territoriali","Popolazione fine periodo","Informazioni"
"Gennaio","Maschi","4885","3","12","-9","0","16","-16","0","1","-1","1","2","-1","1","19","-18","0","4858",""
"Gennaio","Femmine","5204","5","4","1","0","13","-13","0","1","-1","1","1","0","1","15","-14","0","5191",""
"Gennaio","Totale","10089","8","16","-8","0","29","-29","0","2","-2","2","3","-1","2","34","-32","0","10049",""
"Febbraio","Maschi","4858","3","2","1","14","9","5","2","1","1","0","1","-1","16","11","5","0","4864",""
"Febbraio","Femmine","5191","1","7","-6","13","5","8","2","2","0","0","2","-2","15","9","6","0","5191",""
"Febbraio","Totale","10049","4","9","-5","27","14","13","4","3","1","0","3","-3","31","20","11","0","10055",""
"Marzo","Maschi","4864","5","8","-3","10","17","-7","3","1","2","2","5","-3","15","23","-8","0","4853",""
"Marzo","Femmine","5191","2","5","-3","10","7","3","8","6","2","0","1","-1","18","14","4","0","5192",""
"Marzo","Totale","10055","7","13","-6","20","24","-4","11","7","4","2","6","-4","33","37","-4","0","10045",""
"Aprile","Maschi","4853","4","3","1","4","10","-6","1","1","0","0","4","-4","5","15","-10","0","4844",""
"Aprile","Femmine","5192","5","2","3","3","5","-2","1","1","0","0","3","-3","4","9","-5","0","5190",""
"Aprile","Totale","10045","9","5","4","7","15","-8","2","2","0","0","7","-7","9","24","-15","0","10034",""
"Maggio","Maschi","4844","3","3","0","4","9","-5","1","3","-2","1","1","0","6","13","-7","0","4837",""
"Maggio","Femmine","5190","10","5","5","5","8","-3","2","2","0","1","1","0","8","11","-3","0","5192",""
"Maggio","Totale","10034","13","8","5","9","17","-8","3","5","-2","2","2","0","14","24","-10","0","10029",""
"Giugno","Maschi","4837","2","2","0","8","6","2","2","2","0","0","4","-4","10","12","-2","0","4835",""
"Giugno","Femmine","5192","6","5","1","7","9","-2","1","2","-1","0","2","-2","8","13","-5","0","5188",""
"Giugno","Totale","10029","8","7","1","15","15","0","3","4","-1","0","6","-6","18","25","-7","0","10023",""
"Luglio","Maschi","4835","5","5","0","8","6","2","3","1","2","1","1","0","12","8","4","0","4839",""
"Luglio","Femmine","5188","5","7","-2","10","4","6","4","2","2","0","1","-1","14","7","7","0","5193",""
"Luglio","Totale","10023","10","12","-2","18","10","8","7","3","4","1","2","-1","26","15","11","0","10032",""
"Agosto","Maschi","4839","6","4","2","7","4","3","2","1","1","1","1","0","10","6","4","0","4845",""
"Agosto","Femmine","5193","1","7","-6","11","6","5","3","2","1","1","1","0","15","9","6","0","5193",""
"Agosto","Totale","10032","7","11","-4","18","10","8","5","3","2","2","2","0","25","15","10","0","10038",""
"Settembre","Maschi","4845","0","2","-2","4","15","-11","1","0","1","0","1","-1","5","16","-11","0","4832",""
"Settembre","Femmine","5193","5","7","-2","4","12","-8","0","1","-1","0","0","0","4","13","-9","0","5182",""
"Settembre","Totale","10038","5","9","-4","8","27","-19","1","1","0","0","1","-1","9","29","-20","0","10014",""
"Ottobre","Maschi","4832","5","5","0","7","5","2","2","1","1","2","3","-1","11","9","2","0","4834",""
"Ottobre","Femmine","5182","6","5","1","3","13","-10","2","2","0","0","1","-1","5","16","-11","0","5172",""
"Ottobre","Totale","10014","11","10","1","10","18","-8","4","3","1","2","4","-2","16","25","-9","0","10006",""
"Novembre","Maschi","4834","1","6","-5","7","8","-1","2","0","2","0","1","-1","9","9","0","0","4829",""
"Novembre","Femmine","5172","5","4","1","7","3","4","2","1","1","0","2","-2","9","6","3","0","5176",""
"Novembre","Totale","10006","6","10","-4","14","11","3","4","1","3","0","3","-3","18","15","3","0","10005",""
"Dicembre","Maschi","4829","4","4","0","8","2","6","3","1","2","1","2","-1","12","5","7","0","4836",""
"Dicembre","Femmine","5176","3","3","0","5","2","3","3","2","1","1","1","0","9","5","4","0","5180",""
"Dicembre","Totale","10005","7","7","0","13","4","9","6","3","3","2","3","-1","21","10","11","0","10016",""
"Saldo censuario totale","Maschi","","","","","","","","","","","","","","","","","","7",""
"Saldo censuario totale","Femmine","","","","","","","","","","","","","","","","","","5",""
"Saldo censuario totale","Totale","","","","","","","","","","","","","","","","","","12",""
"Popolazione al 31 dicembre","Maschi","","","","","","","","","","","","","","","","","","4843",""
"Popolazione al 31 dicembre","Femmine","","","","","","","","","","","","","","","","","","5185",""
"Popolazione al 31 dicembre","Totale","","","","","","","","","","","","","","","","","","10028",""
