"Età","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"0","38","0","0","0","","","","38","41","0","0","0","","","","41","79"
"1","38","0","0","0","","","","38","43","0","0","0","","","","43","81"
"2","42","0","0","0","","","","42","40","0","0","0","","","","40","82"
"3","37","0","0","0","","","","37","32","0","0","0","","","","32","69"
"4","46","0","0","0","","","","46","35","0","0","0","","","","35","81"
"5","44","0","0","0","","","","44","52","0","0","0","","","","52","96"
"6","47","0","0","0","","","","47","32","0","0","0","","","","32","79"
"7","60","0","0","0","","","","60","50","0","0","0","","","","50","110"
"8","41","0","0","0","","","","41","39","0","0","0","","","","39","80"
"9","69","0","0","0","","","","69","50","0","0","0","","","","50","119"
"10","46","0","0","0","","","","46","43","0","0","0","","","","43","89"
"11","64","0","0","0","","","","64","45","0","0","0","","","","45","109"
"12","42","0","0","0","","","","42","47","0","0","0","","","","47","89"
"13","46","0","0","0","","","","46","44","0","0","0","","","","44","90"
"14","44","0","0","0","","","","44","50","0","0","0","","","","50","94"
"15","39","0","0","0","","","","39","47","0","0","0","","","","47","86"
"16","43","0","0","0","","","","43","37","0","0","0","","","","37","80"
"17","37","0","0","0","","","","37","43","0","0","0","","","","43","80"
"18","53","0","0","0","","","","53","56","0","0","0","","","","56","109"
"19","50","0","0","0","","","","50","52","0","0","0","","","","52","102"
"20","37","0","0","0","","","","37","53","1","0","0","","","","54","91"
"21","47","1","0","0","","","","48","51","0","0","0","","","","51","99"
"22","57","1","0","0","","","","58","62","2","0","0","","","","64","122"
"23","64","0","0","0","","","","64","42","5","0","0","","","","47","111"
"24","64","1","0","0","","","","65","48","9","0","0","","","","57","122"
"25","54","4","0","0","","","","58","46","8","0","0","","","","54","112"
"26","53","3","0","0","","","","56","46","10","0","0","","","","56","112"
"27","55","13","0","0","","","","68","33","8","0","0","","","","41","109"
"28","47","6","0","0","","","","53","53","19","1","0","","","","73","126"
"29","47","10","0","0","","","","57","27","17","0","0","","","","44","101"
"30","37","10","0","0","","","","47","22","20","0","0","","","","42","89"
"31","43","17","0","0","","","","60","35","25","1","0","","","","61","121"
"32","33","21","0","0","","","","54","34","28","1","0","","","","63","117"
"33","35","24","0","0","","","","59","20","29","0","0","","","","49","108"
"34","41","25","0","0","","","","66","19","27","0","0","","","","46","112"
"35","37","21","1","0","","","","59","27","34","2","1","","","","64","123"
"36","27","24","0","0","","","","51","19","43","1","0","","","","63","114"
"37","29","30","1","0","","","","60","23","37","3","0","","","","63","123"
"38","29","44","1","0","","","","74","27","49","2","2","","","","80","154"
"39","22","40","1","0","","","","63","15","46","1","1","","","","63","126"
"40","26","31","2","0","","","","59","15","32","1","0","","","","48","107"
"41","16","31","1","0","","","","48","17","33","2","1","","","","53","101"
"42","24","43","3","0","","","","70","8","33","5","0","","","","46","116"
"43","24","42","1","0","","","","67","10","56","3","0","","","","69","136"
"44","27","41","2","0","","","","70","8","35","0","0","","","","43","113"
"45","22","42","2","0","","","","66","15","44","6","0","","","","65","131"
"46","18","43","1","2","","","","64","12","47","0","0","","","","59","123"
"47","25","38","1","0","","","","64","17","51","5","0","","","","73","137"
"48","20","39","3","0","","","","62","15","47","5","2","","","","69","131"
"49","22","38","2","1","","","","63","9","52","4","2","","","","67","130"
"50","14","39","3","1","","","","57","11","51","3","2","","","","67","124"
"51","19","59","2","0","","","","80","11","61","5","2","","","","79","159"
"52","13","42","4","0","","","","59","15","65","3","5","","","","88","147"
"53","11","44","5","1","","","","61","8","56","6","3","","","","73","134"
"54","12","42","4","1","","","","59","7","53","3","2","","","","65","124"
"55","13","55","3","1","","","","72","10","46","3","3","","","","62","134"
"56","8","55","6","1","","","","70","7","65","4","4","","","","80","150"
"57","12","41","4","1","","","","58","7","54","1","3","","","","65","123"
"58","11","52","2","0","","","","65","11","66","1","4","","","","82","147"
"59","11","48","1","1","","","","61","4","55","4","5","","","","68","129"
"60","17","58","4","3","","","","82","4","51","0","5","","","","60","142"
"61","7","62","2","0","","","","71","6","62","3","1","","","","72","143"
"62","9","48","5","2","","","","64","6","48","4","10","","","","68","132"
"63","6","49","1","0","","","","56","2","61","0","16","","","","79","135"
"64","3","45","1","3","","","","52","7","53","2","11","","","","73","125"
"65","11","62","0","1","","","","74","2","56","1","11","","","","70","144"
"66","8","47","0","1","","","","56","5","41","2","12","","","","60","116"
"67","5","45","2","1","","","","53","8","51","1","10","","","","70","123"
"68","6","51","5","2","","","","64","3","30","3","17","","","","53","117"
"69","10","47","1","3","","","","61","5","44","0","10","","","","59","120"
"70","3","38","1","1","","","","43","5","38","1","22","","","","66","109"
"71","2","45","1","2","","","","50","5","34","7","9","","","","55","105"
"72","5","50","0","2","","","","57","6","28","2","14","","","","50","107"
"73","3","43","1","3","","","","50","4","45","1","29","","","","79","129"
"74","5","39","0","2","","","","46","3","29","0","16","","","","48","94"
"75","5","44","1","3","","","","53","3","17","1","21","","","","42","95"
"76","5","39","2","3","","","","49","1","32","1","22","","","","56","105"
"77","2","40","2","2","","","","46","4","22","3","11","","","","40","86"
"78","2","19","2","5","","","","28","2","19","0","19","","","","40","68"
"79","1","30","1","3","","","","35","8","15","1","20","","","","44","79"
"80","1","20","0","8","","","","29","0","6","0","21","","","","27","56"
"81","4","21","0","0","","","","25","7","14","2","27","","","","50","75"
"82","3","20","1","1","","","","25","4","11","0","22","","","","37","62"
"83","2","23","0","3","","","","28","8","7","0","23","","","","38","66"
"84","1","21","0","3","","","","25","3","5","0","23","","","","31","56"
"85","1","11","0","2","","","","14","6","4","0","31","","","","41","55"
"86","1","13","0","2","","","","16","2","5","1","34","","","","42","58"
"87","0","12","0","4","","","","16","0","4","0","21","","","","25","41"
"88","4","7","0","3","","","","14","1","7","0","15","","","","23","37"
"89","0","9","1","3","","","","13","0","3","0","14","","","","17","30"
"90","0","2","0","1","","","","3","6","0","1","17","","","","24","27"
"91","0","8","0","2","","","","10","2","1","0","7","","","","10","20"
"92","0","7","0","3","","","","10","3","0","0","8","","","","11","21"
"93","0","0","0","3","","","","3","0","1","0","13","","","","14","17"
"94","1","1","0","0","","","","2","2","1","0","9","","","","12","14"
"95","0","2","0","2","","","","4","4","0","0","7","","","","11","15"
"96","0","1","0","0","","","","1","0","0","0","5","","","","5","6"
"97","0","0","0","1","","","","1","0","0","0","6","","","","6","7"
"98","0","0","0","1","","","","1","0","0","0","0","","","","0","1"
"99","0","0","0","0","","","","0","0","0","0","1","","","","1","1"
"100 e oltre","0","0","0","0","","","","0","1","0","0","2","","","","3","3"
"Totale","2265","2239","90","94","","","","4688","1935","2264","113","634","","","","4946","9634"
