"Età","Maschi","Femmine","Totale"
"0","4","4","8"
"1","10","7","17"
"2","2","4","6"
"3","5","3","8"
"4","7","1","8"
"5","9","11","20"
"6","7","6","13"
"7","3","6","9"
"8","10","5","15"
"9","8","10","18"
"10","5","9","14"
"11","4","5","9"
"12","5","3","8"
"13","5","6","11"
"14","7","2","9"
"15","2","2","4"
"16","2","8","10"
"17","7","4","11"
"18","1","6","7"
"19","4","7","11"
"20","3","2","5"
"21","6","0","6"
"22","9","0","9"
"23","6","5","11"
"24","7","3","10"
"25","8","3","11"
"26","7","3","10"
"27","3","1","4"
"28","6","5","11"
"29","1","9","10"
"30","4","6","10"
"31","4","2","6"
"32","9","7","16"
"33","11","4","15"
"34","8","8","16"
"35","12","5","17"
"36","8","7","15"
"37","8","8","16"
"38","11","10","21"
"39","9","9","18"
"40","7","5","12"
"41","9","5","14"
"42","12","7","19"
"43","9","4","13"
"44","10","2","12"
"45","7","3","10"
"46","5","6","11"
"47","7","9","16"
"48","7","3","10"
"49","7","4","11"
"50","4","3","7"
"51","6","2","8"
"52","2","6","8"
"53","4","3","7"
"54","1","4","5"
"55","8","5","13"
"56","3","1","4"
"57","1","2","3"
"58","6","4","10"
"59","2","2","4"
"60","3","2","5"
"61","3","1","4"
"62","1","4","5"
"63","2","1","3"
"64","3","3","6"
"65","3","1","4"
"66","0","4","4"
"67","2","0","2"
"68","3","2","5"
"69","1","2","3"
"70","1","0","1"
"71","2","1","3"
"72","0","0","0"
"73","1","0","1"
"74","1","1","2"
"75","1","0","1"
"76","0","2","2"
"77","0","0","0"
"78","0","0","0"
"79","0","0","0"
"80","0","1","1"
"81","0","1","1"
"82","0","0","0"
"83","0","0","0"
"84","0","0","0"
"85","0","1","1"
"86","0","0","0"
"87","0","0","0"
"88","0","0","0"
"89","0","0","0"
"90","0","0","0"
"91","0","0","0"
"92","0","0","0"
"93","0","0","0"
"94","0","0","0"
"95","0","0","0"
"96","0","1","1"
"97","0","0","0"
"98","0","0","0"
"99","0","1","1"
"100 e oltre","0","0","0"
"Totale","391","315","706"
