"Età","Sesso","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"36","Totale","138","129","130","124","159","143","147","149","156","140"
"37","Maschi","56","78","71","58","64","83","62","62","79","74"
"37","Femmine","69","60","58","70","62","73","79","87","71","81"
"37","Totale","125","138","129","128","126","156","141","149","150","155"
"38","Maschi","62","54","78","72","58","64","84","61","61","79"
"38","Femmine","59","69","59","59","72","61","74","78","88","72"
"38","Totale","121","123","137","131","130","125","158","139","149","151"
"39","Maschi","70","62","51","76","75","58","63","83","60","62"
"39","Femmine","52","59","68","58","59","74","61","77","83","88"
"39","Totale","122","121","119","134","134","132","124","160","143","150"
"40","Maschi","58","67","63","49","76","74","57","63","84","62"
"40","Femmine","83","51","60","70","60","57","75","60","74","81"
"40","Totale","141","118","123","119","136","131","132","123","158","143"
"41","Maschi","58","58","68","63","48","76","74","62","62","84"
"41","Femmine","56","83","50","60","71","60","58","74","59","74"
"41","Totale","114","141","118","123","119","136","132","136","121","158"
"42","Maschi","60","59","59","71","62","49","74","76","62","62"
"42","Femmine","51","56","84","52","61","71","60","58","75","59"
"42","Totale","111","115","143","123","123","120","134","134","137","121"
"43","Maschi","73","60","61","56","71","63","51","72","76","64"
"43","Femmine","67","48","57","83","52","60","71","60","56","76"
"43","Totale","140","108","118","139","123","123","122","132","132","140"
"44","Maschi","68","73","64","62","58","71","64","51","72","74"
"44","Femmine","52","66","46","58","81","53","59","71","60","56"
"44","Totale","120","139","110","120","139","124","123","122","132","130"
"45","Maschi","56","69","71","63","63","59","73","65","52","73"
"45","Femmine","48","52","68","46","59","79","55","60","70","62"
"45","Totale","104","121","139","109","122","138","128","125","122","135"
"46","Maschi","44","54","70","71","65","62","59","74","67","51"
"46","Femmine","51","50","53","67","47","59","79","53","60","70"
"46","Totale","95","104","123","138","112","121","138","127","127","121"
"47","Maschi","53","42","55","69","71","68","62","60","75","67"
"47","Femmine","43","53","49","54","68","48","61","78","53","60"
"47","Totale","96","95","104","123","139","116","123","138","128","127"
"48","Maschi","52","53","43","54","72","69","68","60","61","72"
"48","Femmine","64","43","53","49","54","68","47","61","80","54"
"48","Totale","116","96","96","103","126","137","115","121","141","126"
"49","Maschi","48","50","52","43","53","70","67","67","57","61"
"49","Femmine","45","64","44","53","49","57","69","49","60","79"
"49","Totale","93","114","96","96","102","127","136","116","117","140"
"50","Maschi","54","48","49","53","44","51","67","69","67","58"
"50","Femmine","56","45","66","44","54","48","57","68","47","60"
"50","Totale","110","93","115","97","98","99","124","137","114","118"
"51","Maschi","60","55","47","48","53","44","52","66","67","69"
"51","Femmine","59","57","44","66","44","54","47","54","68","51"
"51","Totale","119","112","91","114","97","98","99","120","135","120"
"52","Maschi","44","60","56","48","47","53","46","52","66","67"
"52","Femmine","56","59","57","44","66","44","54","48","53","68"
"52","Totale","100","119","113","92","113","97","100","100","119","135"
"53","Maschi","47","45","60","55","48","48","51","46","52","64"
"53","Femmine","63","57","59","59","42","65","43","54","48","54"
"53","Totale","110","102","119","114","90","113","94","100","100","118"
"54","Maschi","49","47","46","61","54","47","47","51","47","52"
"54","Femmine","49","63","54","60","59","42","65","42","53","48"
"54","Totale","98","110","100","121","113","89","112","93","100","100"
"55","Maschi","47","48","47","45","60","55","47","48","51","47"
"55","Femmine","56","50","63","54","60","59","42","64","42","56"
"55","Totale","103","98","110","99","120","114","89","112","93","103"
"56","Maschi","48","45","46","47","46","60","58","47","47","50"
"56","Femmine","49","55","48","63","55","60","59","43","63","41"
"56","Totale","97","100","94","110","101","120","117","90","110","91"
"57","Maschi","44","48","45","45","47","45","60","56","47","47"
"57","Femmine","72","48","55","48","64","55","60","59","43","62"
"57","Totale","116","96","100","93","111","100","120","115","90","109"
"58","Maschi","38","44","49","45","46","47","46","59","54","46"
"58","Femmine","66","72","47","57","50","62","53","57","58","44"
"58","Totale","104","116","96","102","96","109","99","116","112","90"
"59","Maschi","55","38","43","49","45","47","47","45","58","52"
"59","Femmine","64","66","73","46","58","51","61","53","56","58"
