"Anno","Cittadinanza","Maschi","Femmine","Totale"
"2023","Italia","4374","4682","9056"
"2023","Albania","1","0","1"
"2023","Algeria","7","5","12"
"2023","Bangladesh","1","0","1"
"2023","Bielorussia","2","2","4"
"2023","Camerun","3","2","5"
"2023","Colombia","1","0","1"
"2023","Costa d'Avorio","2","0","2"
"2023","Filippine","0","3","3"
"2023","Francia","1","0","1"
"2023","Gambia","2","0","2"
"2023","Germania","0","1","1"
"2023","Guinea","0","1","1"
"2023","India","1","0","1"
"2023","Lettonia","1","0","1"
"2023","Mali","12","0","12"
"2023","Marocco","243","170","413"
"2023","Messico","0","1","1"
"2023","Moldova","0","2","2"
"2023","Niger","1","0","1"
"2023","Nigeria","11","16","27"
"2023","Paesi Bassi","0","1","1"
"2023","Pakistan","3","0","3"
"2023","Polonia","0","2","2"
"2023","Regno Unito","2","0","2"
"2023","Repubblica ceca","0","1","1"
"2023","Romania","85","93","178"
"2023","Senegal","3","0","3"
"2023","Ucraina","9","15","24"
"2023","Totale","4765","4997","9762"
