"Età","Maschi","Femmine","Totale"
"0","3","2","5"
"1","4","4","8"
"2","4","4","8"
"3","10","2","12"
"4","2","4","6"
"5","5","4","9"
"6","5","1","6"
"7","8","9","17"
"8","6","4","10"
"9","1","6","7"
"10","11","5","16"
"11","6","7","13"
"12","5","7","12"
"13","4","3","7"
"14","4","3","7"
"15","4","6","10"
"16","5","2","7"
"17","4","1","5"
"18","3","6","9"
"19","4","2","6"
"20","0","6","6"
"21","7","8","15"
"22","5","4","9"
"23","7","1","8"
"24","8","1","9"
"25","4","7","11"
"26","6","5","11"
"27","10","3","13"
"28","8","8","16"
"29","3","0","3"
"30","5","4","9"
"31","5","5","10"
"32","5","4","9"
"33","8","2","10"
"34","12","6","18"
"35","10","4","14"
"36","8","5","13"
"37","10","3","13"
"38","9","12","21"
"39","6","10","16"
"40","7","13","20"
"41","8","10","18"
"42","8","4","12"
"43","9","6","15"
"44","14","6","20"
"45","11","2","13"
"46","7","4","11"
"47","9","3","12"
"48","3","6","9"
"49","10","6","16"
"50","6","3","9"
"51","6","5","11"
"52","3","3","6"
"53","6","2","8"
"54","1","7","8"
"55","5","3","8"
"56","1","2","3"
"57","6","5","11"
"58","2","2","4"
"59","0","4","4"
"60","7","3","10"
"61","1","1","2"
"62","4","2","6"
"63","3","1","4"
"64","1","5","6"
"65","2","1","3"
"66","3","3","6"
"67","3","1","4"
"68","0","4","4"
"69","2","2","4"
"70","4","2","6"
"71","1","3","4"
"72","1","2","3"
"73","2","1","3"
"74","1","0","1"
"75","1","0","1"
"76","1","1","2"
"77","0","0","0"
"78","0","1","1"
"79","1","0","1"
"80","0","0","0"
"81","0","0","0"
"82","0","0","0"
"83","0","0","0"
"84","0","0","0"
"85","0","1","1"
"86","1","0","1"
"87","0","1","1"
"88","0","0","0"
"89","0","0","0"
"90","0","0","0"
"91","0","0","0"
"92","0","0","0"
"93","0","0","0"
"94","0","0","0"
"95","0","0","0"
"96","0","0","0"
"97","0","0","0"
"98","0","0","0"
"99","0","0","0"
"100 e oltre","0","1","1"
"Totale","395","312","707"
