"Età","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"0","46","0","0","0","","","","46","31","0","0","0","","","","31","77"
"1","42","0","0","0","","","","42","52","0","0","0","","","","52","94"
"2","50","0","0","0","","","","50","35","0","0","0","","","","35","85"
"3","59","0","0","0","","","","59","54","0","0","0","","","","54","113"
"4","41","0","0","0","","","","41","42","0","0","0","","","","42","83"
"5","76","0","0","0","","","","76","50","0","0","0","","","","50","126"
"6","41","0","0","0","","","","41","43","0","0","0","","","","43","84"
"7","62","0","0","0","","","","62","44","0","0","0","","","","44","106"
"8","43","0","0","0","","","","43","47","0","0","0","","","","47","90"
"9","48","0","0","0","","","","48","40","0","0","0","","","","40","88"
"10","42","0","0","0","","","","42","47","0","0","0","","","","47","89"
"11","43","0","0","0","","","","43","47","0","0","0","","","","47","90"
"12","42","0","0","0","","","","42","38","0","0","0","","","","38","80"
"13","37","0","0","0","","","","37","41","0","0","0","","","","41","78"
"14","49","0","0","0","","","","49","52","0","0","0","","","","52","101"
"15","51","0","0","0","","","","51","56","0","0","0","","","","56","107"
"16","38","0","0","0","","","","38","52","0","0","0","","","","52","90"
"17","48","0","0","0","","","","48","49","0","0","0","","","","49","97"
"18","60","0","0","0","","","","60","63","0","0","0","","","","63","123"
"19","61","0","0","0","","","","61","46","1","0","0","","","","47","108"
"20","68","0","0","0","","","","68","58","1","0","0","","","","59","127"
"21","65","0","0","0","","","","65","46","3","0","0","","","","49","114"
"22","59","0","0","0","","","","59","53","1","0","0","","","","54","113"
"23","67","0","0","0","","","","67","46","4","0","0","","","","50","117"
"24","54","3","0","0","","","","57","64","6","0","0","","","","70","127"
"25","60","2","0","0","","","","62","45","6","0","0","","","","51","113"
"26","48","4","0","0","","","","52","43","9","0","0","","","","52","104"
"27","57","4","0","0","","","","61","53","13","0","0","","","","66","127"
"28","58","6","0","0","","","","64","54","19","0","0","","","","73","137"
"29","48","10","0","0","","","","58","40","19","0","0","","","","59","117"
"30","48","19","0","0","","","","67","25","21","1","0","","","","47","114"
"31","39","18","0","0","","","","57","44","33","0","0","","","","77","134"
"32","37","16","0","0","","","","53","32","35","1","0","","","","68","121"
"33","41","24","1","0","","","","66","31","37","0","0","","","","68","134"
"34","42","36","0","0","","","","78","30","46","0","0","","","","76","154"
"35","35","30","0","0","","","","65","21","41","1","0","","","","63","128"
"36","34","30","0","0","","","","64","18","27","0","0","","","","45","109"
"37","29","25","0","0","","","","54","17","35","1","1","","","","54","108"
"38","29","44","1","0","","","","74","9","39","1","0","","","","49","123"
"39","33","38","1","0","","","","72","13","50","3","0","","","","66","138"
"40","28","41","1","0","","","","70","9","36","0","0","","","","45","115"
"41","25","38","0","0","","","","63","12","47","1","0","","","","60","123"
"42","23","37","0","2","","","","62","11","47","0","0","","","","58","120"
"43","30","37","2","0","","","","69","19","55","0","0","","","","74","143"
"44","24","39","2","0","","","","65","13","50","2","1","","","","66","131"
"45","20","43","2","0","","","","65","8","52","2","2","","","","64","129"
"46","13","43","1","0","","","","57","10","53","1","2","","","","66","123"
"47","24","59","1","0","","","","84","10","62","3","2","","","","77","161"
"48","12","47","2","0","","","","61","15","67","3","2","","","","87","148"
"49","10","48","4","0","","","","62","10","58","4","3","","","","75","137"
"50","12","45","3","1","","","","61","7","54","4","1","","","","66","127"
"51","11","54","3","1","","","","69","8","48","1","3","","","","60","129"
"52","9","54","4","1","","","","68","7","70","3","3","","","","83","151"
"53","12","41","3","1","","","","57","5","58","1","2","","","","66","123"
"54","11","53","2","0","","","","66","10","68","0","2","","","","80","146"
"55","11","50","1","0","","","","62","5","55","5","3","","","","68","130"
"56","19","60","2","2","","","","83","5","57","1","1","","","","64","147"
"57","7","66","4","0","","","","77","6","64","4","1","","","","75","152"
"58","11","53","2","1","","","","67","6","49","3","8","","","","66","133"
"59","7","50","0","0","","","","57","2","67","0","11","","","","80","137"
"60","3","48","1","3","","","","55","10","56","2","8","","","","76","131"
"61","14","58","0","1","","","","73","2","56","1","11","","","","70","143"
"62","6","49","0","1","","","","56","6","47","2","10","","","","65","121"
"63","5","44","2","1","","","","52","9","54","1","7","","","","71","123"
"64","7","53","4","0","","","","64","3","34","3","13","","","","53","117"
"65","9","50","1","2","","","","62","4","46","0","10","","","","60","122"
"66","3","41","0","1","","","","45","6","47","1","17","","","","71","116"
"67","3","48","2","1","","","","54","5","39","5","9","","","","58","112"
"68","5","55","0","1","","","","61","5","33","0","10","","","","48","109"
"69","4","49","0","1","","","","54","7","53","1","24","","","","85","139"
"70","4","41","2","3","","","","50","5","33","1","16","","","","55","105"
"71","5","51","0","5","","","","61","3","21","1","19","","","","44","105"
"72","6","45","2","1","","","","54","2","41","1","15","","","","59","113"
"73","4","43","2","1","","","","50","5","27","2","9","","","","43","93"
"74","2","26","1","3","","","","32","3","28","0","17","","","","48","80"
"75","1","35","1","2","","","","39","9","18","1","19","","","","47","86"
"76","1","26","1","6","","","","34","0","12","1","21","","","","34","68"
"77","3","25","0","2","","","","30","8","20","2","22","","","","52","82"
"78","3","21","1","4","","","","29","5","14","0","23","","","","42","71"
"79","4","30","0","3","","","","37","7","12","0","25","","","","44","81"
"80","3","28","0","2","","","","33","4","10","0","23","","","","37","70"
"81","2","14","0","3","","","","19","6","8","0","32","","","","46","65"
"82","1","19","0","2","","","","22","4","12","1","33","","","","50","72"
"83","0","19","0","2","","","","21","1","11","0","24","","","","36","57"
"84","7","11","0","5","","","","23","3","11","0","21","","","","35","58"
"85","0","16","0","5","","","","21","1","7","0","17","","","","25","46"
"86","0","5","0","4","","","","9","6","3","1","26","","","","36","45"
"87","0","14","0","2","","","","16","3","1","0","19","","","","23","39"
"88","1","13","0","2","","","","16","4","2","0","17","","","","23","39"
"89","0","3","0","5","","","","8","2","1","1","25","","","","29","37"
"90","1","4","0","3","","","","8","4","1","0","21","","","","26","34"
"91","0","4","0","2","","","","6","5","2","0","14","","","","21","27"
"92","0","3","0","3","","","","6","1","1","0","12","","","","14","20"
"93","0","2","0","1","","","","3","1","0","0","9","","","","10","13"
"94","0","1","0","3","","","","4","0","1","0","3","","","","4","8"
"95","0","0","0","0","","","","0","0","0","0","8","","","","8","8"
"96","0","2","0","1","","","","3","0","1","0","5","","","","6","9"
"97","0","0","0","0","","","","0","2","0","0","5","","","","7","7"
"98","0","0","0","0","","","","0","0","0","0","4","","","","4","4"
"99","0","0","0","0","","","","0","0","0","0","3","","","","3","3"
"100 e oltre","0","1","0","1","","","","2","1","0","0","1","","","","2","4"
"Totale","2356","2264","62","97","","","","4779","2001","2326","74","675","","","","5076","9855"
