"Età","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"30","45","15","0","0","","","","60","53","31","0","0","","","","84","144"
"31","40","17","0","0","","","","57","35","36","1","0","","","","72","129"
"32","42","24","1","0","","","","67","31","38","0","0","","","","69","136"
"33","44","37","0","0","","","","81","31","48","0","0","","","","79","160"
"34","36","29","0","0","","","","65","23","39","1","0","","","","63","128"
"35","35","30","0","0","","","","65","17","26","0","0","","","","43","108"
"36","27","24","0","0","","","","51","24","34","1","1","","","","60","111"
"37","29","42","1","0","","","","72","9","41","0","0","","","","50","122"
"38","35","36","1","0","","","","72","13","51","2","0","","","","66","138"
"39","31","41","2","0","","","","74","12","34","0","0","","","","46","120"
"40","30","37","0","0","","","","67","13","47","2","0","","","","62","129"
"41","27","34","0","2","","","","63","10","48","1","0","","","","59","122"
"42","32","40","0","0","","","","72","19","53","0","0","","","","72","144"
"43","27","40","2","0","","","","69","15","50","2","0","","","","67","136"
"44","25","43","2","0","","","","70","9","53","1","2","","","","65","135"
"45","14","42","1","0","","","","57","10","54","1","3","","","","68","125"
"46","25","59","0","0","","","","84","10","62","2","1","","","","75","159"
"47","13","48","1","0","","","","62","15","68","3","1","","","","87","149"
"48","10","47","4","0","","","","61","12","60","4","3","","","","79","140"
"49","11","47","1","1","","","","60","7","55","3","1","","","","66","126"
"50","13","58","2","1","","","","74","9","48","1","3","","","","61","135"
"51","10","57","5","1","","","","73","7","70","3","3","","","","83","156"
"52","12","44","1","1","","","","58","6","59","1","2","","","","68","126"
"53","11","55","1","0","","","","67","10","69","0","2","","","","81","148"
"54","11","51","1","0","","","","63","5","58","5","3","","","","71","134"
"55","20","63","2","1","","","","86","5","56","1","1","","","","63","149"
"56","7","66","3","0","","","","76","6","66","3","1","","","","76","152"
"57","11","54","3","1","","","","69","6","51","3","7","","","","67","136"
"58","8","53","0","0","","","","61","2","68","0","8","","","","78","139"
"59","3","48","2","3","","","","56","10","61","2","6","","","","79","135"
"60","13","59","0","1","","","","73","2","57","2","10","","","","71","144"
"61","7","50","0","0","","","","57","5","48","3","9","","","","65","122"
"62","8","46","2","1","","","","57","9","54","1","6","","","","70","127"
"63","7","53","5","0","","","","65","3","34","3","13","","","","53","118"
"64","9","53","1","2","","","","65","5","46","0","10","","","","61","126"
"65","3","40","0","1","","","","44","6","49","1","14","","","","70","114"
"66","3","52","2","0","","","","57","5","42","5","6","","","","58","115"
"67","5","58","0","1","","","","64","5","33","0","9","","","","47","111"
"68","4","49","0","1","","","","54","7","51","1","24","","","","83","137"
"69","5","40","1","2","","","","48","5","32","1","15","","","","53","101"
"70","5","49","0","6","","","","60","3","23","1","17","","","","44","104"
"71","7","49","2","1","","","","59","2","42","1","16","","","","61","120"
"72","3","42","2","1","","","","48","5","29","2","10","","","","46","94"
"73","3","28","1","3","","","","35","3","28","0","17","","","","48","83"
"74","3","36","1","2","","","","42","9","19","1","18","","","","47","89"
"75","2","27","1","6","","","","36","0","12","1","21","","","","34","70"
"76","3","26","0","2","","","","31","7","20","2","23","","","","52","83"
"77","3","21","1","3","","","","28","5","17","0","21","","","","43","71"
"78","4","30","0","3","","","","37","8","16","0","25","","","","49","86"
"79","3","30","0","3","","","","36","4","11","0","24","","","","39","75"
"80","2","17","0","2","","","","21","6","11","0","28","","","","45","66"
"81","1","20","0","2","","","","23","4","14","1","31","","","","50","73"
"82","0","20","0","3","","","","23","1","12","0","25","","","","38","61"
"83","7","12","0","7","","","","26","4","14","0","20","","","","38","64"
"84","0","16","0","4","","","","20","1","7","0","17","","","","25","45"
"85","0","7","0","4","","","","11","7","4","1","31","","","","43","54"
"86","0","16","0","2","","","","18","3","3","0","20","","","","26","44"
"87","2","14","0","1","","","","17","6","2","0","17","","","","25","42"
"88","0","3","0","5","","","","8","2","1","1","29","","","","33","41"
"89","1","5","0","4","","","","10","6","1","1","25","","","","33","43"
"90","0","4","0","3","","","","7","5","2","0","16","","","","23","30"
"91","0","5","0","5","","","","10","1","2","0","14","","","","17","27"
"92","0","5","0","3","","","","8","1","0","0","13","","","","14","22"
"93","0","3","0","4","","","","7","0","1","0","6","","","","7","14"
"94","0","0","0","0","","","","0","1","1","0","9","","","","11","11"
"95","0","2","0","1","","","","3","0","1","0","8","","","","9","12"
"96","0","0","0","0","","","","0","2","0","0","7","","","","9","9"
"97","0","0","0","0","","","","0","0","0","0","7","","","","7","7"
"98","0","0","0","1","","","","1","0","0","0","3","","","","3","4"
"99","0","1","0","1","","","","2","0","0","0","4","","","","4","6"
"100 e oltre","0","0","0","0","","","","0","1","0","0","0","","","","1","1"
"Totale","2373","2313","55","102","","","","4843","2054","2373","72","686","","","","5185","10028"
