"Età","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"0","43","0","0","0","","","","43","52","0","0","0","","","","52","95"
"1","50","0","0","0","","","","50","35","0","0","0","","","","35","85"
"2","58","0","0","0","","","","58","56","0","0","0","","","","56","114"
"3","39","0","0","0","","","","39","42","0","0","0","","","","42","81"
"4","73","0","0","0","","","","73","50","0","0","0","","","","50","123"
"5","43","0","0","0","","","","43","43","0","0","0","","","","43","86"
"6","60","0","0","0","","","","60","47","0","0","0","","","","47","107"
"7","43","0","0","0","","","","43","49","0","0","0","","","","49","92"
"8","50","0","0","0","","","","50","41","0","0","0","","","","41","91"
"9","43","0","0","0","","","","43","51","0","0","0","","","","51","94"
"10","43","0","0","0","","","","43","48","0","0","0","","","","48","91"
"11","46","0","0","0","","","","46","36","0","0","0","","","","36","82"
"12","38","0","0","0","","","","38","42","0","0","0","","","","42","80"
"13","49","0","0","0","","","","49","54","0","0","0","","","","54","103"
"14","53","0","0","0","","","","53","54","0","0","0","","","","54","107"
"15","41","0","0","0","","","","41","49","0","0","0","","","","49","90"
"16","48","0","0","0","","","","48","49","0","0","0","","","","49","97"
"17","57","0","0","0","","","","57","66","0","0","0","","","","66","123"
"18","60","0","0","0","","","","60","47","1","0","0","","","","48","108"
"19","67","0","0","0","","","","67","58","2","0","0","","","","60","127"
"20","62","0","0","0","","","","62","49","2","0","0","","","","51","113"
"21","56","1","0","0","","","","57","56","1","0","0","","","","57","114"
"22","67","0","0","0","","","","67","49","4","0","0","","","","53","120"
"23","57","2","0","0","","","","59","68","6","0","0","","","","74","133"
"24","63","2","0","0","","","","65","47","5","0","0","","","","52","117"
"25","44","2","0","0","","","","46","50","9","0","0","","","","59","105"
"26","64","2","0","0","","","","66","57","14","0","0","","","","71","137"
"27","56","7","0","0","","","","63","55","17","0","0","","","","72","135"
"28","54","10","0","0","","","","64","42","18","0","0","","","","60","124"
"29","49","18","0","0","","","","67","29","21","0","0","","","","50","117"
