"Mese","Sesso","Popolazione inizio periodo","Nati vivi","Morti","Saldo naturale anagrafico","Iscritti in anagrafe da altro comune","Cancellati dall'anagrafe per altro comune","Saldo migratorio anagrafico interno","Iscritti in anagrafe dall'estero","Cancellati dall'anagrafe per l'estero","Saldo migratorio anagrafico estero","Iscritti in anagrafe per altri motivi","Cancellati dall'anagrafe per altri motivi","Saldo anagrafico per altri motivi","Iscritti in anagrafe in totale","Cancellati dall'anagrafe in totale","Saldo migratorio anagrafico e per altri motivi","Unità in più/meno dovute a variazioni territoriali","Popolazione fine periodo","Informazioni"
"Gennaio","Maschi","4779","4","1","3","6","7","-1","4","2","2","0","0","0","10","9","1","0","4783",""
"Gennaio","Femmine","5076","2","9","-7","8","5","3","2","2","0","0","0","0","10","7","3","0","5072",""
"Gennaio","Totale","9855","6","10","-4","14","12","2","6","4","2","0","0","0","20","16","4","0","9855",""
"Febbraio","Maschi","4783","4","4","0","1","5","-4","4","1","3","2","0","2","7","6","1","0","4784",""
"Febbraio","Femmine","5072","2","6","-4","5","9","-4","6","2","4","2","0","2","13","11","2","0","5070",""
"Febbraio","Totale","9855","6","10","-4","6","14","-8","10","3","7","4","0","4","20","17","3","0","9854",""
"Marzo","Maschi","4784","3","2","1","7","10","-3","0","2","-2","0","0","0","7","12","-5","0","4780",""
"Marzo","Femmine","5070","2","4","-2","10","9","1","1","2","-1","0","0","0","11","11","0","0","5068",""
"Marzo","Totale","9854","5","6","-1","17","19","-2","1","4","-3","0","0","0","18","23","-5","0","9848",""
"Aprile","Maschi","4780","3","3","0","6","8","-2","1","1","0","0","0","0","7","9","-2","0","4778",""
"Aprile","Femmine","5068","4","3","1","2","4","-2","1","0","1","0","0","0","3","4","-1","0","5068",""
"Aprile","Totale","9848","7","6","1","8","12","-4","2","1","1","0","0","0","10","13","-3","0","9846",""
"Maggio","Maschi","4778","1","4","-3","7","7","0","5","1","4","0","1","-1","12","9","3","0","4778",""
"Maggio","Femmine","5068","1","6","-5","0","11","-11","1","0","1","0","1","-1","1","12","-11","0","5052",""
"Maggio","Totale","9846","2","10","-8","7","18","-11","6","1","5","0","2","-2","13","21","-8","0","9830",""
"Giugno","Maschi","4778","4","3","1","6","10","-4","1","0","1","1","0","1","8","10","-2","0","4777",""
"Giugno","Femmine","5052","4","10","-6","4","10","-6","2","0","2","0","0","0","6","10","-4","0","5042",""
"Giugno","Totale","9830","8","13","-5","10","20","-10","3","0","3","1","0","1","14","20","-6","0","9819",""
"Luglio","Maschi","4777","0","3","-3","2","9","-7","3","4","-1","0","0","0","5","13","-8","0","4766",""
"Luglio","Femmine","5042","4","7","-3","6","3","3","2","3","-1","0","0","0","8","6","2","0","5041",""
"Luglio","Totale","9819","4","10","-6","8","12","-4","5","7","-2","0","0","0","13","19","-6","0","9807",""
"Agosto","Maschi","4766","5","4","1","9","7","2","2","2","0","1","0","1","12","9","3","0","4770",""
"Agosto","Femmine","5041","3","3","0","6","16","-10","3","2","1","0","0","0","9","18","-9","0","5032",""
"Agosto","Totale","9807","8","7","1","15","23","-8","5","4","1","1","0","1","21","27","-6","0","9802",""
"Settembre","Maschi","4770","3","5","-2","5","11","-6","2","1","1","0","0","0","7","12","-5","0","4763",""
"Settembre","Femmine","5032","5","3","2","10","13","-3","10","0","10","0","2","-2","20","15","5","0","5039",""
"Settembre","Totale","9802","8","8","0","15","24","-9","12","1","11","0","2","-2","27","27","0","0","9802",""
"Ottobre","Maschi","4763","7","4","3","3","6","-3","3","0","3","0","4","-4","6","10","-4","0","4762",""
"Ottobre","Femmine","5039","3","5","-2","3","10","-7","2","1","1","0","7","-7","5","18","-13","0","5024",""
"Ottobre","Totale","9802","10","9","1","6","16","-10","5","1","4","0","11","-11","11","28","-17","0","9786",""
"Novembre","Maschi","4762","1","4","-3","6","8","-2","1","0","1","0","0","0","7","8","-1","0","4758",""
"Novembre","Femmine","5024","1","2","-1","1","5","-4","1","0","1","0","1","-1","2","6","-4","0","5019",""
"Novembre","Totale","9786","2","6","-4","7","13","-6","2","0","2","0","1","-1","9","14","-5","0","9777",""
"Dicembre","Maschi","4758","1","9","-8","9","5","4","0","3","-3","1","1","0","10","9","1","0","4751",""
"Dicembre","Femmine","5019","3","3","0","8","5","3","0","0","0","0","1","-1","8","6","2","0","5021",""
"Dicembre","Totale","9777","4","12","-8","17","10","7","0","3","-3","1","2","-1","18","15","3","0","9772",""
"Saldo censuario totale","Maschi","","","","","","","","","","","","","","","","","","33",""
"Saldo censuario totale","Femmine","","","","","","","","","","","","","","","","","","24",""
"Saldo censuario totale","Totale","","","","","","","","","","","","","","","","","","57",""
"Popolazione al 31 dicembre","Maschi","","","","","","","","","","","","","","","","","","4784",""
"Popolazione al 31 dicembre","Femmine","","","","","","","","","","","","","","","","","","5045",""
"Popolazione al 31 dicembre","Totale","","","","","","","","","","","","","","","","","","9829",""
