"Età","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"0","36","0","0","0","","","","36","37","0","0","0","","","","37","73"
"1","47","0","0","0","","","","47","34","0","0","0","","","","34","81"
"2","43","0","0","0","","","","43","53","0","0","0","","","","53","96"
"3","47","0","0","0","","","","47","35","0","0","0","","","","35","82"
"4","60","0","0","0","","","","60","52","0","0","0","","","","52","112"
"5","42","0","0","0","","","","42","43","0","0","0","","","","43","85"
"6","74","0","0","0","","","","74","51","0","0","0","","","","51","125"
"7","45","0","0","0","","","","45","43","0","0","0","","","","43","88"
"8","62","0","0","0","","","","62","47","0","0","0","","","","47","109"
"9","43","0","0","0","","","","43","51","0","0","0","","","","51","94"
"10","49","0","0","0","","","","49","42","0","0","0","","","","42","91"
"11","44","0","0","0","","","","44","50","0","0","0","","","","50","94"
"12","43","0","0","0","","","","43","49","0","0","0","","","","49","92"
"13","46","0","0","0","","","","46","37","0","0","0","","","","37","83"
"14","37","0","0","0","","","","37","43","0","0","0","","","","43","80"
"15","51","0","0","0","","","","51","53","0","0","0","","","","53","104"
"16","54","0","0","0","","","","54","56","0","0","0","","","","56","110"
"17","40","0","0","0","","","","40","54","0","0","0","","","","54","94"
"18","48","0","0","0","","","","48","51","0","0","0","","","","51","99"
"19","59","0","0","0","","","","59","63","0","0","0","","","","63","122"
"20","59","0","0","0","","","","59","47","1","0","0","","","","48","107"
"21","63","0","0","0","","","","63","54","3","0","0","","","","57","120"
"22","60","0","0","0","","","","60","48","3","0","0","","","","51","111"
"23","59","1","0","0","","","","60","51","3","0","0","","","","54","114"
"24","70","3","0","0","","","","73","44","4","0","0","","","","48","121"
"25","55","3","0","0","","","","58","59","8","0","0","","","","67","125"
"26","54","6","0","0","","","","60","41","7","0","0","","","","48","108"
"27","46","6","0","0","","","","52","33","13","0","0","","","","46","98"
"28","53","7","0","0","","","","60","46","19","0","0","","","","65","125"
"29","51","10","0","0","","","","61","45","24","0","0","","","","69","130"
"30","42","14","0","0","","","","56","29","22","0","0","","","","51","107"
"31","42","21","0","0","","","","63","23","23","1","0","","","","47","110"
"32","40","18","0","0","","","","58","42","31","1","1","","","","75","133"
"33","36","19","0","0","","","","55","27","42","1","0","","","","70","125"
"34","38","24","1","0","","","","63","30","39","0","0","","","","69","132"
"35","38","37","0","0","","","","75","27","48","0","1","","","","76","151"
"36","32","33","1","0","","","","66","18","41","1","0","","","","60","126"
"37","31","33","0","0","","","","64","18","28","1","0","","","","47","111"
"38","21","28","0","0","","","","49","17","37","1","1","","","","56","105"
"39","27","41","1","0","","","","69","8","39","2","0","","","","49","118"
"40","32","40","0","0","","","","72","13","50","4","0","","","","67","139"
"41","30","43","0","0","","","","73","10","35","0","0","","","","45","118"
"42","24","39","0","0","","","","63","13","45","1","0","","","","59","122"
"43","23","36","0","2","","","","61","11","46","0","0","","","","57","118"
"44","28","36","2","0","","","","66","19","55","1","0","","","","75","141"
"45","24","41","2","0","","","","67","13","49","2","2","","","","66","133"
"46","19","45","2","0","","","","66","9","52","2","2","","","","65","131"
"47","12","45","1","0","","","","58","11","53","3","2","","","","69","127"
"48","22","62","0","0","","","","84","11","61","4","2","","","","78","162"
"49","11","47","2","0","","","","60","14","65","3","2","","","","84","144"
"50","10","47","4","0","","","","61","9","58","4","3","","","","74","135"
"51","13","46","4","1","","","","64","7","55","3","1","","","","66","130"
"52","11","55","2","1","","","","69","9","48","1","3","","","","61","130"
"53","8","57","5","1","","","","71","7","70","3","3","","","","83","154"
"54","12","41","3","1","","","","57","6","59","1","2","","","","68","125"
"55","11","51","2","0","","","","64","10","67","1","2","","","","80","144"
"56","11","52","1","0","","","","64","5","54","5","4","","","","68","132"
"57","18","60","2","2","","","","82","5","56","1","2","","","","64","146"
"58","7","65","3","0","","","","75","7","62","4","1","","","","74","149"
"59","9","54","2","1","","","","66","5","50","3","8","","","","66","132"
"60","6","52","0","0","","","","58","2","65","0","12","","","","79","137"
"61","4","48","2","3","","","","57","9","57","2","8","","","","76","133"
"62","13","59","0","1","","","","73","2","57","1","11","","","","71","144"
"63","8","49","0","1","","","","58","6","46","2","10","","","","64","122"
"64","7","48","2","1","","","","58","9","53","1","6","","","","69","127"
"65","6","53","6","0","","","","65","3","35","3","13","","","","54","119"
"66","9","50","1","3","","","","63","5","44","0","10","","","","59","122"
"67","3","40","1","1","","","","45","6","45","1","17","","","","69","114"
"68","2","45","2","2","","","","51","5","38","5","8","","","","56","107"
"69","5","54","0","1","","","","60","5","31","0","11","","","","47","107"
"70","5","49","0","1","","","","55","7","52","1","24","","","","84","139"
"71","4","40","1","4","","","","49","4","31","1","16","","","","52","101"
"72","5","51","0","5","","","","61","3","20","2","19","","","","44","105"
"73","6","44","3","1","","","","54","1","39","1","17","","","","58","112"
"74","4","43","2","1","","","","50","5","26","2","9","","","","42","92"
"75","2","23","1","4","","","","30","2","26","0","18","","","","46","76"
"76","1","36","1","2","","","","40","8","17","1","20","","","","46","86"
"77","1","25","1","7","","","","34","0","10","0","21","","","","31","65"
"78","3","24","0","1","","","","28","7","18","2","23","","","","50","78"
"79","3","20","1","3","","","","27","5","13","0","24","","","","42","69"
"80","3","28","0","3","","","","34","7","11","0","24","","","","42","76"
