"Età","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"81","3","27","0","2","","","","32","4","10","0","21","","","","35","67"
"82","1","13","0","3","","","","17","6","7","0","32","","","","45","62"
"83","1","16","0","3","","","","20","3","8","1","35","","","","47","67"
"84","0","18","0","3","","","","21","1","11","0","22","","","","34","55"
"85","7","9","0","5","","","","21","2","10","0","20","","","","32","53"
"86","0","13","0","6","","","","19","1","6","0","17","","","","24","43"
"87","0","5","0","4","","","","9","6","2","1","24","","","","33","42"
"88","0","14","0","2","","","","16","2","2","0","16","","","","20","36"
"89","0","12","0","3","","","","15","3","2","0","15","","","","20","35"
"90","0","0","0","5","","","","5","1","1","0","21","","","","23","28"
"91","1","4","0","2","","","","7","3","1","0","19","","","","23","30"
"92","0","3","0","2","","","","5","5","1","0","12","","","","18","23"
"93","0","3","0","1","","","","4","1","0","0","8","","","","9","13"
"94","0","1","0","0","","","","1","1","0","0","8","","","","9","10"
"95","0","1","0","2","","","","3","0","1","0","2","","","","3","6"
"96","0","0","0","0","","","","0","0","0","0","5","","","","5","5"
"97","0","2","0","0","","","","2","0","0","0","6","","","","6","8"
"98","0","0","0","0","","","","0","2","0","0","4","","","","6","6"
"99","0","0","0","0","","","","0","0","0","0","4","","","","4","4"
"100 e oltre","0","0","0","0","","","","0","0","0","0","2","","","","2","2"
"Totale","2335","2288","64","97","","","","4784","1987","2321","81","656","","","","5045","9829"
