"Età","Maschi","Femmine","Totale"
"0","1","6","7"
"1","5","5","10"
"2","10","3","13"
"3","9","11","20"
"4","7","6","13"
"5","5","5","10"
"6","8","6","14"
"7","11","5","16"
"8","4","8","12"
"9","4","3","7"
"10","3","2","5"
"11","6","5","11"
"12","4","1","5"
"13","1","2","3"
"14","1","7","8"
"15","5","2","7"
"16","0","6","6"
"17","4","5","9"
"18","4","1","5"
"19","7","0","7"
"20","9","0","9"
"21","7","5","12"
"22","10","4","14"
"23","9","5","14"
"24","6","3","9"
"25","6","2","8"
"26","6","6","12"
"27","4","8","12"
"28","6","6","12"
"29","3","4","7"
"30","11","5","16"
"31","8","6","14"
"32","8","5","13"
"33","13","5","18"
"34","10","9","19"
"35","7","10","17"
"36","10","8","18"
"37","11","8","19"
"38","11","4","15"
"39","9","4","13"
"40","11","7","18"
"41","9","4","13"
"42","13","3","16"
"43","7","3","10"
"44","4","5","9"
"45","8","8","16"
"46","7","4","11"
"47","9","5","14"
"48","7","4","11"
"49","4","2","6"
"50","1","6","7"
"51","4","2","6"
"52","1","4","5"
"53","7","6","13"
"54","3","1","4"
"55","1","2","3"
"56","6","4","10"
"57","3","1","4"
"58","4","2","6"
"59","1","1","2"
"60","1","3","4"
"61","3","1","4"
"62","2","4","6"
"63","0","2","2"
"64","1","3","4"
"65","1","2","3"
"66","3","2","5"
"67","1","2","3"
"68","2","2","4"
"69","1","1","2"
"70","2","2","4"
"71","1","0","1"
"72","1","1","2"
"73","1","0","1"
"74","0","1","1"
"75","0","0","0"
"76","0","0","0"
"77","0","0","0"
"78","0","1","1"
"79","1","0","1"
"80","0","0","0"
"81","0","0","0"
"82","0","0","0"
"83","0","1","1"
"84","0","0","0"
"85","0","0","0"
"86","0","0","0"
"87","0","0","0"
"88","0","0","0"
"89","0","0","0"
"90","0","0","0"
"91","0","0","0"
"92","0","0","0"
"93","0","0","0"
"94","0","1","1"
"95","0","0","0"
"96","0","0","0"
"97","0","1","1"
"98","0","0","0"
"99","0","0","0"
"100 e oltre","0","0","0"
"Totale","394","300","694"
